Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-29 00:00:00-04:00,146.3996307390663,149.1044749926931,145.59414682047907,148.9652557373047,124953200,0.0,0
2021-11-01 00:00:00-04:00,148.159790723995,148.86582590435498,146.9764193153143,148.1299591064453,74588300,0.0,0
2021-11-02 00:00:00-04:00,147.8316140806182,150.72540210532404,147.8216600931807,149.1840362548828,69122000,0.0,0
2021-11-03 00:00:00-04:00,149.55198221767094,151.12317981525564,148.9851663151554,150.64585876464844,54511500,0.0,0
2021-11-04 00:00:00-04:00,150.7353452199042,151.58059961933625,149.8005807997873,150.11880493164062,60394600,0.0,0
2021-11-05 00:00:00-04:00,151.26405721841564,151.57277726996034,149.44159686687965,150.6565704345703,65463900,0.22,0
2021-11-08 00:00:00-05:00,150.7860416787679,150.94538596435038,149.54119293998124,149.82003784179688,55020900,0.0,0
2021-11-09 00:00:00-05:00,149.58102029226723,150.805947187198,149.44159784240443,150.18850708007812,56787900,0.0,0
2021-11-10 00:00:00-05:00,149.40177685329962,149.51132415481564,147.2407211742181,147.3104248046875,65187100,0.0,0
2021-11-11 00:00:00-05:00,148.34613975580498,148.81418889682908,147.07140067937598,147.2606201171875,41000000,0.0,0
2021-11-12 00:00:00-05:00,147.8183033010006,149.78018602224626,146.87222135018473,149.37188720703125,63804000,0.0,0
2021-11-15 00:00:00-05:00,149.75030627012254,151.25409314393997,148.81417766690254,149.3818359375,59222800,0.0,0
2021-11-16 00:00:00-05:00,149.3221019982786,150.86571751130802,148.72456851068404,150.3777313232422,59256200,0.0,0
2021-11-17 00:00:00-05:00,150.37772356053776,154.36123941644604,150.36777024142452,152.8574676513672,88807000,0.0,0
2021-11-18 00:00:00-05:00,153.07656121440698,158.01611233295955,152.41927745556436,157.2194061279297,137827700,0.0,0
2021-11-19 00:00:00-05:00,157.00032364168004,160.3564463196901,155.88494398621998,159.8883819580078,117305600,0.0,0
2021-11-22 00:00:00-05:00,161.01369860063144,165.01713616632497,160.3365082201962,160.35643005371094,117467900,0.0,0
2021-11-23 00:00:00-05:00,160.4560138611604,161.13321945873847,158.40450562610076,160.7448272705078,96041900,0.0,0
2021-11-24 00:00:00-05:00,160.08754562843333,161.47181679928147,158.98211935560442,161.27264404296875,69463600,0.0,0
2021-11-26 00:00:00-05:00,158.91242368256525,159.7887868933843,155.71564531868708,156.16378784179688,76959800,0.0,0
2021-11-29 00:00:00-05:00,158.71322584583115,160.52573285681146,158.1356142224168,159.57965087890625,88748200,0.0,0
2021-11-30 00:00:00-05:00,159.33068977043322,164.83789953156216,159.2609709450455,164.61880493164062,174048100,0.0,0
2021-12-01 00:00:00-05:00,166.789811757141,169.59819784956352,163.85197172708808,164.0909881591797,152052500,0.0,0
2021-12-02 00:00:00-05:00,158.08584226688922,163.52333324633366,157.1497135498656,163.08514404296875,136739200,0.0,0
2021-12-03 00:00:00-05:00,163.34407399762875,164.28020266698275,159.06179135904523,161.1730499267578,118023100,0.0,0
2021-12-06 00:00:00-05:00,163.61296350175326,167.18818086338183,163.60301018171558,164.63873291015625,107497000,0.0,0
